site,type,mse,rmse,mae,r2
solar_station_site_1,solar,9.833175659179688,3.135789479410199,1.4199546575546265,0.9462869167327881
solar_station_site_2,solar,50.55674362182617,7.110326548185124,3.647162914276123,0.9287967681884766
solar_station_site_3,solar,6.478137016296387,2.5452184614088407,1.5814199447631836,0.89121013879776
solar_station_site_4,solar,39.11986541748047,6.254587549749421,2.9778335094451904,0.9302893280982971
solar_station_site_5,solar,22.201717376708984,4.711869838684955,2.117295742034912,0.9471726417541504
solar_station_site_6,solar,2.8240058422088623,1.6804778612671047,0.7828332185745239,0.9629780650138855
solar_station_site_7,solar,3.9267139434814453,1.981593788716912,1.0160431861877441,0.9253665804862976
solar_station_site_8,solar,1.0805459022521973,1.0394930987034965,0.5292611122131348,0.9701350331306458
wind_farm_site_1,wind,99.44593048095703,9.972258043239608,6.29166841506958,0.8400028944015503
wind_farm_site_2,wind,520.3128051757812,22.810366178029263,15.51601505279541,0.8370602130889893
wind_farm_site_3,wind,63.21403503417969,7.950725440749396,5.645864486694336,0.8374390602111816
wind_farm_site_4,wind,21.925424575805664,4.682459244436161,3.0335328578948975,0.9495697617530823
wind_farm_site_5,wind,11.342947006225586,3.367929186640596,2.1976375579833984,0.9004872441291809
wind_farm_site_6,wind,61.17412567138672,7.821388986068057,6.312389373779297,0.5792500376701355
