site,type,mse,rmse,mae,r2
solar_station_site_1,solar,12.788314819335938,3.5760753374804533,1.6895893812179565,0.9301446676254272
solar_station_site_2,solar,70.70563507080078,8.408664285771003,4.756613254547119,0.9004194140434265
solar_station_site_3,solar,12.105535507202148,3.479301008421397,2.16487979888916,0.796707034111023
solar_station_site_4,solar,49.82472229003906,7.0586629250899255,3.6317543983459473,0.9112135171890259
solar_station_site_5,solar,32.55429458618164,5.705637088545121,2.8972976207733154,0.9225394129753113
solar_station_site_6,solar,3.138270378112793,1.7715164063910875,0.866762101650238,0.9588581323623657
solar_station_site_7,solar,4.3718671798706055,2.0909010449733403,1.0509828329086304,0.9169057607650757
solar_station_site_8,solar,2.0764832496643066,1.441000780591151,0.7412846684455872,0.9426085352897644
wind_farm_site_1,wind,103.69326782226562,10.182989139848162,6.192490100860596,0.8331694602966309
wind_farm_site_2,wind,687.380126953125,26.217935215289646,18.008445739746094,0.7847418189048767
wind_farm_site_3,wind,64.79914855957031,8.049791833306642,5.37741231918335,0.8333627581596375
wind_farm_site_4,wind,30.824411392211914,5.551973648371534,3.709925889968872,0.9291013479232788
wind_farm_site_5,wind,15.96917724609375,3.996145298421186,2.932286500930786,0.8599008321762085
wind_farm_site_6,wind,73.46299743652344,8.571055794738676,6.679779052734375,0.49472832679748535
