site,type,mse,rmse,mae,r2
solar_station_site_1,solar,13.27743911743164,3.6438220479918666,2.123673915863037,0.9276588559150696
solar_station_site_2,solar,93.64246368408203,9.676903620687872,6.156689167022705,0.8688057065010071
solar_station_site_3,solar,5.066530704498291,2.250895533892742,1.3382951021194458,0.9149158000946045
solar_station_site_4,solar,77.06400299072266,8.77861053873121,5.405573844909668,0.8631526827812195
solar_station_site_5,solar,64.18022918701172,8.011256405022356,4.994714260101318,0.8475717306137085
solar_station_site_6,solar,4.106295108795166,2.026399543228128,1.1424579620361328,0.9461601972579956
solar_station_site_7,solar,4.429152011871338,2.10455506268459,1.1886612176895142,0.9157896041870117
solar_station_site_8,solar,3.8566877841949463,1.9638451528048098,1.3407889604568481,0.8934025764465332
wind_farm_site_1,wind,130.45529174804688,11.421702664141055,7.319771766662598,0.7965837121009827
wind_farm_site_2,wind,610.0371704101562,24.69893055195217,16.643339157104492,0.8089604377746582
wind_farm_site_3,wind,61.842838287353516,7.864021762899281,5.398479461669922,0.8418324589729309
wind_farm_site_4,wind,30.251012802124023,5.5000920721497035,3.8053061962127686,0.9305647611618042
wind_farm_site_5,wind,9.799180030822754,3.1303642009872834,2.049280881881714,0.9138401746749878
wind_farm_site_6,wind,51.136680603027344,7.150991581803697,5.273852348327637,0.6438229084014893
